sentence,sentence_type
je veux partir de St Quentin pour Clermont-de-l'Oise,from_to
je veux partir de Bourg-en-Bresse Gare R pour Laval,from_to
je veux partir de Niederbronn pour Lyon-Perrache-Gare-Rout,from_to
je veux partir de Ste-Marie-/-Mines-Maire pour Herbitzheim R. Hambach,from_to
je veux partir de Vorey pour Longuyon,from_to
je veux partir de Paris-Gare-de-Lyon pour Savenay,from_to
je veux partir de Vendôme-Villiers-s-Loir pour La-Bresse (Pl Champtel),from_to
je veux partir de Tourcoing pour Brignais,from_to
je veux partir de WOERTH RHEIN pour Arches,from_to
je veux partir de Basel-SBB pour Luchon,from_to
je veux partir de Poligny pour La Forest,from_to
je veux partir de Fénétrange (Gendarm.) pour Issoudun,from_to
je veux partir de Valence-TGV pour Poitiers,from_to
je veux partir de Bedous pour Château-Renault,from_to
je veux partir de La-Rochelle-Pt-Dauphine pour Lièpvre-(Rte-Vancelle),from_to
je veux partir de Truyes-Saint-Blaise pour Oyonnax,from_to
je veux partir de Ville-sous-La-Ferté pour Ste-Pazanne,from_to
je veux partir de Bréauté-Beuzeville pour Miramas,from_to
je veux partir de Montmélian pour Laqueuille,from_to
je veux partir de Bourg-Achard Champ de F pour Lamballe,from_to
je veux partir de Guéret pour Moûtiers-Salins-Brides,from_to
je veux partir de Serquigny pour Boussens,from_to
je veux partir de Le Mans pour Pontgibaud-Ville,from_to
je veux partir de Prissé-la-Charrière pour Mulhouse,from_to
je veux partir de Chatillon-Mail pour Sedan,from_to
je veux partir de Decize pour Besançon-Viotte,from_to
je veux partir de Molsheim pour Loches-LEP,from_to
je veux partir de Sérézin pour Egletons,from_to
je veux partir de Aix-les-Bains-le-Revard pour Saint-Léonard Centre,from_to
je veux partir de Le Puy-en-Velay pour Valence-TGV,from_to
je veux partir de Pfaffenhoffen-(Mairie). pour Amiens,from_to
je veux partir de Bayel-Eglise pour Hirson,from_to
je veux partir de Granville pour Saint-Eloy-les-Mines-Lycée,from_to
je veux partir de Luçay-le-Male pour Esvres,from_to
je veux partir de Lisieux pour Castelsarrasin,from_to
je veux partir de Annonay-Gare-Route pour Sarrebourg,from_to
je veux partir de Vallorbe-Cff pour Pont-de-Beauvoisin,from_to
je veux partir de Oloron-Ste-Marie pour Annemasse,from_to
je veux partir de Meroux pour Tonnerre,from_to
je veux partir de Neuchâtel pour Montmélian,from_to
je veux partir de Saint-Léonard Centre pour Dol,from_to
je veux partir de Chambéry-Chal.-les-Eaux pour Meymac,from_to
je veux partir de Kehl pour Hirson-Ecoles,from_to
je veux partir de Egletons pour Poitiers,from_to
je veux partir de Saint-Junien pour Herbitzheim Mairie,from_to
je veux partir de La Verrière pour Courtrai/Kortrijk,from_to
je veux partir de L'Isle-Jourdain (Gers) pour Bas-Monistrol,from_to
je veux partir de Sablé-sur-Sarthe pour Dole-Ville,from_to
je veux partir de Coutances pour Perpignan,from_to
je veux partir de Romorantin-Lycée-de-F pour Valence-Gare-Routière,from_to
je veux partir de Voves pour Saint-Malo,from_to
je veux partir de Routot-Place-de-mairie pour Nort-sur-Erdre,from_to
je veux partir de Pierrelatte pour Saverne-(Lycée-Verne),from_to
je veux partir de Grenoble U.-Gières pour Ventimiglia-Stazione,from_to
je veux partir de Argentan pour Aix-les-Bains-le-Revard,from_to
je veux partir de Moûtiers-Salins-Brides pour L'Aigle,from_to
je veux partir de St Omer pour Grasse,from_to
je veux partir de Saintes pour Sarrebourg,from_to
je veux partir de Lille Flandres pour Clelles-Mairie,from_to
je veux partir de Crépy-en-Valois pour Altkirch,from_to
je veux partir de Montélimar-G-Routière pour La-Bresse (Pl Champtel),from_to
je veux partir de Strasbourg pour Obernai,from_to
je veux partir de Auxonne pour Carpentras,from_to
je veux partir de Vertaizon pour Mommenheim,from_to
je veux partir de Dossenheim-(Mairie) pour Saint-Etienne-Châteaucreux,from_to
je veux partir de Franois pour Sarrebourg-Abri-Phalsbo,from_to
je veux partir de Le Croisic pour Bellegarde-s-V. Gare,from_to
je veux partir de Ste-Pazanne pour L'Isle-Jourdain (Gers),from_to
je veux partir de Compiègne pour Lens,from_to
je veux partir de Longuyon pour Vif,from_to
je veux partir de Roanne pour Champagne-Ardenne,from_to
je veux partir de Herbitzheim Mairie pour Tonnerre,from_to
je veux partir de Montreuil-sur-Ille pour La-Rochelle-Pt-Dauphine,from_to
je veux partir de Bouxwiller-Schattenmann pour Autun,from_to
je veux partir de Reims pour Saint-Raphaël-Valescure,from_to
je veux partir de Salbris pour Langres-Gendarmerie,from_to
je veux partir de Bricon(la Poste) pour Nogent-le-Rotrou,from_to
je veux partir de Bitche-Quartier-Driant pour Clermont-de-l'Oise,from_to
je veux partir de Lyon-Part-Dieu-Gare-Rou pour Strasbourg,from_to
je veux partir de Krimmeri-Meinau pour Gramat,from_to
je veux partir de Dives-Cabourg pour Culmont-Chalindrey,from_to
je veux partir de Annemasse pour Mauriac-Lycée-Cortat,from_to
je veux partir de Entzheim-Aéroport pour Le Mont Dore Ski,from_to
je veux partir de Châteauroux-L-Giraudoux pour Busigny,from_to
je veux partir de Courtrai/Kortrijk pour Bar-le-Duc,from_to
je veux partir de Le Buisson pour Givet,from_to
je veux partir de Charmes (Vosges) pour Andelot,from_to
je veux partir de Toul pour Damblain Eglise,from_to
je veux partir de Clion-sur-Indre pour Montbéliard-Ville,from_to
je veux partir de Urcay-Hotel-du-Lyon-d'O pour Ste-Croix/Mines-Sq-de-G,from_to
je veux partir de L'Arbresle pour Saint-Jean-Pied-de-Port,from_to
je veux partir de Chauffailles-Gambetta pour Paris Gare du Nord,from_to
je veux partir de Nevers-Le-Banlay pour Montbéliard-Ville,from_to
je veux partir de Châteaudun-LEP-Paulsen pour Mende,from_to
je veux partir de Châlons-en-Champagne pour Chinon-Lycée-Rabelais,from_to
je veux partir de Objat pour Paris-Saint-Lazare,from_to
je veux partir de Mouchard pour Laqueuille,from_to
je veux partir de Pontorson-Mt-Saint-Michel pour Tessonnières,from_to
je veux partir de Brioude-Lycée-Lafayette pour Bourgoin-Jallieu,from_to
je veux partir de Hirson pour Conflans-Jarny,from_to
je veux partir de Modane pour Langon,from_to
je veux partir de Pontarlier pour Châteauroux-Lycée-Agric,from_to
je veux partir de Montauban-de-Bretagne pour Argentan,from_to
je veux partir de Travers pour Courtalain-Saint-Pellerin,from_to
je veux partir de Saint-Malo pour Royan,from_to
je veux partir de Cholet pour Sarrebourg-Abri-Phalsbo,from_to
je veux partir de Cavaillon pour Flers,from_to
je veux partir de Felletin-Gare pour Bourg-en-Bresse Gare R,from_to
je veux partir de Marvejols pour Amiens,from_to
je veux partir de Saint-Claude pour Neuwiller-R.-Bouxwiller,from_to
je veux partir de Epernay pour Thann-Saint-Jacques,from_to
je veux partir de Lunéville pour Bellegarde-s-V. Gare,from_to
je veux partir de Brive-la-Gaillarde pour Le Creusot,from_to
je veux partir de Lyon-Saint-Paul-la-Feuilée pour Gien,from_to
je veux partir de Mont-de-Marsan pour Marseille-Blancarde,from_to
je veux partir de Rémilly pour Bettembourg,from_to
je veux partir de Sète pour Carmaux,from_to
je veux partir de Rives pour Ribeauville-Gare-Routiè,from_to
je veux partir de Cernay-(Lycée) pour Luneville-LP,from_to
je veux partir de Comines (France) pour Nevers,from_to
je veux partir de L'Aigle pour Saint-Brieuc,from_to
je veux partir de Neuwiller-R.-Bouxwiller pour Charleville-Mézières,from_to
je veux partir de Herrlisheim (Bas-Rhin) pour Lapeyrouse(Puy-de-Dôme),from_to
je veux partir de Epierre-Saint-Léger pour Thesee,from_to
je veux partir de Tulle pour Annonay-Gare-Route,from_to
je veux partir de Monsempron-Libos pour Castelnaudary,from_to
je veux partir de Lutterbach Tram-train pour Avesnes,from_to
je veux partir de Lourdes pour Morhange,from_to
je veux partir de Vallorcine pour Vallon-en-Sully,from_to
je veux partir de Langon pour Poligny,from_to
je veux partir de Paris-Saint-Lazare pour Culoz,from_to
je veux partir de Riom_Es_M_la_Poste. pour Ville-sous-La-Ferté,from_to
je veux partir de Saint-Georges-d'Aurac pour Dourdan,from_to
je veux partir de Carnoules pour L'Isle-Jourdain (Gers),from_to
je veux partir de Avallon pour Villefranche-sur-Saône,from_to
je veux partir de Bouzonville pour Saint-Raphaël-Valescure,from_to
je veux partir de Blois-Chambord pour Sérézin,from_to
je veux partir de Nogent-sur-Seine pour Marmande,from_to
je veux partir de Laon-Gare-Routière-Poma pour Orléans,from_to
je veux partir de Caen pour Langon,from_to
je veux partir de Delle pour Carcassonne,from_to
je veux partir de La Bastide-Saint-Laurent pour Saint-André-le-Gaz,from_to
je veux partir de Châteauroux-Lycée-Agric pour Clisson,from_to
je veux partir de Arcachon pour Issoudun-Jardin,from_to
je veux partir de Dompierre-Halte-Rout. pour Saint-Eloy,from_to
je veux partir de Gardanne pour Morez Lycée,from_to
je veux partir de Colmar pour Perl Gare DB,from_to
je veux partir de Saint-Jean-de-Maurienne-A. pour Lièpvre-(Rte-Vancelle),from_to
je veux partir de Corcieux Le Conti pour Bitche,from_to
je veux partir de Bressuire pour Massiac-Blesle,from_to
je veux partir de Flers pour Lyon-Perrache-Gare-Rout,from_to
je veux partir de Quimperlé pour Chaumont,from_to
je veux partir de Lichtenberg-(Eglise). pour Payns Abri Savières,from_to
je veux partir de Sarrebourg-Hôpital pour Pontgibaud-Ville,from_to
je veux partir de Ambert pour Mende,from_to
je veux partir de Montbrison pour Aubenas-Pl.-de-la-Paix,from_to
je veux partir de Barenton-sur-Serre pour La Forest,from_to
je veux partir de Bédarieux pour Chatillon-Mail,from_to
je veux partir de Souillac pour Creutzwald G.R.,from_to
je veux partir de Hombourg (Chapelle) pour Feurs,from_to
je veux partir de Alès pour Perl Gare DB,from_to
je veux partir de Le-Verdon pour Argentan,from_to
je veux partir de Volvic pour Paimpol,from_to
je veux partir de Evian-les-Bains pour Avallon,from_to
je veux partir de Elbeuf-Saint-Aubin pour Toury,from_to
je veux partir de Carcassonne pour Agen,from_to
je veux partir de Sedan-Place-Calonne pour Sarrebourg-Hôpital,from_to
je veux partir de Privas-Cours-du-Palais pour Pauillac,from_to
je veux partir de Ambérieu-en-Bugey pour Egletons,from_to
je veux partir de BarentonÂ Cel pour Chartres-Gare-Routière,from_to
je veux partir de Le-Blanc-Pl-du-Bateau pour Montauban-Ville-Bourbon,from_to
je veux partir de Dax pour Argentine,from_to
je veux partir de Mirecourt pour Bourg-Saint-Maurice,from_to
je veux partir de Thiers pour Delle,from_to
je veux partir de Bourg-en-Bresse pour Lamotte-Beuvron,from_to
je veux partir de Saint-Marcellin pour Sarre-Union,from_to
je veux partir de Mullheim-Baden-Bf pour Sablé-sur-Sarthe,from_to
je veux partir de Rethel pour Benfeld,from_to
je veux partir de Montmédy pour Strasbourg,from_to
je veux partir de Château-Gaillard pour Dol,from_to
je veux partir de Lamballe pour Arches,from_to
je veux partir de Lauterbourg pour Argentan,from_to
je veux partir de Quimper pour Cavaillon,from_to
je veux partir de Albi-Ville pour Veynes-Dévoluy,from_to
je veux partir de Saint-Louis-57-Incliné pour Le Grau-du-Roi,from_to
je veux partir de Saint-Lô pour Carpentras,from_to
je veux partir de Saint-Emilion pour Neussargues,from_to
je veux partir de Aubenas-Pl.-de-la-Paix pour Decize,from_to
je veux partir de Orléans pour Saint-Florentin-Vergigny,from_to
je veux partir de Bettembourg pour Lunéville,from_to
je veux partir de Lyon-Part-Dieu pour Paris-Austerlitz,from_to
je veux partir de Luchon pour Busigny,from_to
je veux partir de Communay-Stade pour Loches-Lycee-Saint-Denis,from_to
je veux partir de La-Bresse (Pl Champtel) pour Paris-Austerlitz,from_to
je veux partir de Louhans pour BarentonÂ Cel,from_to
je veux partir de Arras pour Savenay,from_to
je veux partir de Issoire-Lycée-Deville pour Yvetot,from_to
je veux partir de Rosporden pour Digoin,from_to
je veux partir de Auch pour Ste-Croix/Mines-Sq-de-G,from_to
je veux partir de Aix-Gare-Routière pour Valence-Gare-Routière,from_to
je veux partir de Janzé pour Igney (Centre),from_to
je veux partir de Saint-Etienne-Châteaucreux pour Travers,from_to
je veux partir de Ussel pour Laval,from_to
je veux partir de Le Lioran pour Connerré-Beillé,from_to
je veux partir de Montbéliard-Ville pour Bresse-Claudel (la),from_to
je veux partir de Bourgoin-Jallieu pour Dijon-Ville,from_to
je veux partir de Freiburg-Breisgau pour Saint-Etienne-Châteaucreux,from_to
je veux partir de Wingen-sur-Moder pour Lamure-sur-Azergues,from_to
je veux partir de Morcenx pour Brioude-Lycée-Lafayette,from_to
je veux partir de Mulhouse-Gare-Centrale pour Meroux,from_to
je veux partir de Biel pour Paray-le-Monial,from_to
je veux partir de Aillevillers pour Rosporden,from_to
je veux partir de Wissembourg pour Vallon-en-Sully,from_to
je veux partir de Lunéville (Cité Scolai) pour Bas-Monistrol,from_to
je veux partir de St Pol sur Ternoise pour Lyon-Saint-Paul-la-Feuilée,from_to
je veux partir de Mâcon-Ville pour Sarre-Union,from_to
je veux partir de Besançon-Franche-Comté pour Carcassonne,from_to
je veux partir de Chedde pour Neuilly-lès-Dijon,from_to
je veux partir de Pagny-sur-Moselle pour Calais Fréthun,from_to
je veux partir de Libourne pour Agen,from_to
je veux partir de Ax-les-Thermes pour Toulouse-Matabiau,from_to
je veux partir de Sens pour Aix-en-Provence,from_to
je veux partir de Nexon pour Saint-Malo,from_to
je veux partir de Riom-Châtel-Guyon pour Savenay,from_to
je veux partir de Rennes pour Le Mans,from_to
je veux partir de Le Creusot pour Morhange,from_to
je veux partir de Epinal pour Bueil,from_to
je veux partir de La Bresse Le Lispach pour Elbeuf-Saint-Aubin,from_to
je veux partir de Montauban-Ville-Bourbon pour Château-du-Loir,from_to
je veux partir de Sélestat-(Schweisguth) pour Bois-d'Oingt-Centre,from_to
je veux partir de Saint-Jean-Pied-de-Port pour Romilly-sur-Seine,from_to
je veux partir de Villedieu (Gare) pour Albertville,from_to
je veux partir de Nantes pour Pontarlier,from_to
je veux partir de Menton pour Louhans,from_to
je veux partir de Ettendorf-(Angle-Pont) pour Port-Bou,from_to
je veux partir de Sarlat pour Reims,from_to
je veux partir de Sancerre-Porte-Cesar pour Sain-Bel,from_to
je veux partir de Font-Romeu-Odeillo-Via pour Château-Gaillard,from_to
je veux partir de Cambo-les-Bains pour Lutterbach Tram-train,from_to
je veux partir de Saillat-Chassenon pour Martigues,from_to
je veux partir de Châteaubriant pour Hagondange,from_to
je veux partir de Laqueuille pour Noirétable,from_to
je veux partir de Montréjeau-Gourdan-Pol. pour Rang du Fl. Verton Ber.,from_to
je veux partir de Cannes pour Mende,from_to
je veux partir de Latour de Carol pour Saint-Mariens-Saint-Yzan,from_to
je veux partir de Surdon pour Routot-Place-de-mairie,from_to
je veux partir de Plouaret-Trégor pour Montauban-Ville-Bourbon,from_to
je veux partir de Chamonix-Mont-Blanc pour Bitche,from_to
je veux partir de Auxerre-Saint-Gervais pour Toury,from_to
je veux partir de Lunel pour Mirecourt (Lycée Agric),from_to
je veux partir de Clamecy pour Saint-Gervais-L-B-Le-Fayet,from_to
je veux partir de Mons pour Diemeringen,from_to
je veux partir de Lamure-sur-Azergues pour Châteauroux,from_to
je veux partir de Albertville pour Audun-le-Roman,from_to
je veux partir de Charleville-Mézières pour Thonon-les-Bains,from_to
je veux partir de Cluses (Hte-Savoie) pour Mauriac,from_to
je veux partir de Nort-sur-Erdre pour Sedan-Place-Calonne,from_to
je veux partir de Pauillac pour Fénétrange (Gendarm.),from_to
je veux partir de Callac pour Hyères,from_to
je veux partir de Metz-Ville pour Clelles-Mens,from_to
je veux partir de Grenoble pour Luchon,from_to
je veux partir de Grenoble-Gare-Routière pour Chedde,from_to
je veux partir de Bouxwiller-Babenhausen pour Vire-Centre,from_to
je veux partir de Rambervillers pour Nouzonville,from_to
je veux partir de Lannion pour Culmont-Chalindrey,from_to
je veux partir de Reignac-Bourg-Du-Fau pour Biel,from_to
je veux partir de Sarrebourg pour Sewen-(Eglise),from_to
je veux partir de Liepvre-(-R.-GUTH-) pour Lyon-Part-Dieu-Gare-Rou,from_to
je veux partir de Saint-Aignan-Noyers pour Sain-Bel,from_to
je veux partir de Saint-Jean-de-Bassel-Eglis pour Pont-Saint-Vincent,from_to
je veux partir de Vire-Centre pour Ancizes-Saint-Georges-Bour,from_to
je veux partir de La Roche-sur-Yon pour Courtalain-Saint-Pellerin,from_to
je veux partir de Romilly-sur-Seine pour Morez Lycée,from_to
je veux partir de Narbonne pour Redon,from_to
je veux partir de Castelsarrasin pour Carnoules,from_to
je veux partir de Clelles-Mairie pour Romilly-sur-Seine,from_to
je veux partir de Vitry-le-François pour Château-Renault,from_to
je veux partir de Vannes pour Saint-Chély-d'Apcher,from_to
je veux partir de Millau pour Bitche,from_to
je veux partir de Thionville pour Ste-Marie-/-Ms-Pl-.CdG,from_to
je veux partir de Saint-Etienne-Chtx GR pour Brignais,from_to
je veux partir de Veigné pour Chantonnay,from_to
je veux partir de Neussargues pour Latour-de-Carol-Enveitg,from_to
je veux partir de Troyes pour Vierzon-Médiathèque,from_to
je veux partir de Roanne-Gare-Routière pour Avesnes,from_to
je veux partir de Benfeld pour Aubrais-(les),from_to
je veux partir de Langogne pour Aubagne,from_to
je veux partir de Pont-de-Dore pour Charleville-Mézières,from_to
je veux partir de Valenciennes pour Mauriac,from_to
je veux partir de Yvetot pour Cavaillon,from_to
je veux partir de Guingamp pour Sospel,from_to
je veux partir de Sucé-Sur-Erdre pour Millau,from_to
je veux partir de Villefranche-Vernet-l.B pour Meroux,from_to
je veux partir de Villefranche-sur-Saône pour Messac-Guipry,from_to
je veux partir de Douai pour Belfort-Ville,from_to
je veux partir de Rambervillers (11 Nov) pour La Douzillère,from_to
je veux partir de Givet pour Port-de-Piles,from_to
je veux partir de Bar-le-Duc pour Tournai,from_to
je veux partir de Rang du Fl. Verton Ber. pour Périgueux,from_to
je veux partir de Tarbes pour Saint-Lô,from_to
je veux partir de Rodez pour Marvejols Place Chayla,from_to
je veux partir de Coppet pour Felletin-Gare,from_to
je veux partir de Lièpvre-(Rte-Vancelle) pour Condat-le-Lardin,from_to
je veux partir de Gannat pour Benfeld,from_to
je veux partir de Vierzon pour Lille Europe,from_to
je veux partir de Montivilliers pour Breil-sur-Roya,from_to
je veux partir de Diemeringen pour Culmont-Chalindrey,from_to
je veux partir de Sarrebourg-LP-Messmer pour Veigné,from_to
je veux partir de Bort-les-Orgues pour Cannes,from_to
je veux partir de Besançon-Viotte pour Les Laumes-Alésia,from_to
je veux partir de Bresse-Claudel (la) pour Bourges-Gare-Routière,from_to
je veux partir de Antibes pour Sarrebourg,from_to
je veux partir de Abbeville pour Cambrai Ville,from_to
je veux partir de Rolleville pour Vallorbe-Cff,from_to
je veux partir de Liverdun pour Mutzig-Passage-A-Niveau,from_to
je veux partir de Sarreguemines pour Nouzonville,from_to
je veux partir de Thouars pour Herbitzheim R. Hambach,from_to
je veux partir de Hendaye pour Albi-Ville,from_to
je veux partir de Vif pour Château-Renault,from_to
je veux partir de Delémont pour Saint-Aignan-Pl-Wilson,from_to
je veux partir de Saverne pour Vierzon-Médiathèque,from_to
je veux partir de Aix-en-Provence pour Kehl,from_to
je veux partir de Saint-Aignan-Pl-Wilson pour Andelot,from_to
je veux partir de Bourges pour Seurre,from_to
je veux partir de Chaumont pour Tassin,from_to
je veux partir de Allamps-Esat pour Bresse-Claudel (la),from_to
je veux partir de Paimpol pour Chinon,from_to
je veux partir de Maubeuge pour Maubeuge,from_to
je veux partir de Mauzé pour Le-Mont-Dore-Gare,from_to
je veux partir de Luc-en-Diois pour Saint-Germain-des-Fossés,from_to
je veux partir de Lyon-Gorge-de-Loup pour Forbach,from_to
je veux partir de Gap pour Autun,from_to
je veux partir de Landerneau pour Angoulême,from_to
je veux partir de Obernai pour Givors-Ville,from_to
je veux partir de Is-sur-Tille pour Gannat,from_to
je veux partir de Lozanne pour Rodange,from_to
je veux partir de Chinon pour Laon,from_to
je veux partir de Mauriac-Lycée-Cortat pour Mulhouse,from_to
je veux partir de Le-Breuil-sur-Couze-Lyc pour Dinan,from_to
je veux partir de Béthune pour Dreux,from_to
je veux partir de Tours pour Prissé-la-Charrière,from_to
je veux partir de Poule-Mairie pour WOERTH RHEIN,from_to
je veux partir de Bar-sur-Aube pour Sancerre-Porte-Cesar,from_to
je veux partir de Sarralbe Centre pour Angers-Saint-Laud,from_to
je veux partir de Boussens pour Montmédy,from_to
je veux partir de Châteaudun pour Oissel,from_to
je veux partir de Saint-Florentin-Vergigny pour Souillac,from_to
je veux partir de Laon pour Neuilly-lès-Dijon,from_to
je veux partir de Chagny pour Bricon(la Poste),from_to
je veux partir de Luzy(Nièvre) pour Seurre,from_to
je veux partir de Châteauroux-Charmilles pour Dijon-Ville,from_to
je veux partir de Wesserling pour Le-Verdon,from_to
je veux partir de Morez Lycée pour Rumilly,from_to
je veux partir de Damblain Eglise pour Comines (France),from_to
je veux partir de Saint-Brieuc pour Rouen-Gare-Routière,from_to
je veux partir de Saint-Vit pour Bouzonville,from_to
je veux partir de Niort pour Sedan,from_to
je veux partir de Evreux pour Luchon-Richelieu,from_to
je veux partir de Verneuil-sur-Serre pour Flers,from_to
je veux partir de Mauriac pour Rouen-Rive-Droite,from_to
je veux partir de Dol pour Loches-LEP,from_to
je veux partir de Saint-Dié-des-Vosges pour Saint-Dié-des-Vosges,from_to
je veux partir de Loudrefing pour Morteau,from_to
je veux partir de Limoges-Bénédictins pour Avignon-TGV,from_to
je veux partir de Calais Ville pour La Chaux-de-Fonds,from_to
je veux partir de Bitche pour Sucé-Sur-Erdre,from_to
je veux partir de Château-Renault pour Abbeville,from_to
je veux partir de Etaples Le Touquet pour Toulouse-Matabiau,from_to
je veux partir de La Souterraine pour Seurre,from_to
je veux partir de Andelot pour Perl Gare DB,from_to
je veux partir de Grandris-Centre pour Lyon-Saint-Paul-la-Feuilée,from_to
je veux partir de Clermont-de-l'Oise pour Nexon,from_to
je veux partir de WINDEN PFALZ pour Le Mans,from_to
je veux partir de Neustadt (Weinstr) Hbf pour Kédange (Eglise),from_to
je veux partir de Besançon-Mouillère pour Avignon-TGV,from_to
je veux partir de Champagnole-PE-Victor pour Buzançais,from_to
je veux partir de Lesparre pour Montluçon-Ville,from_to
je veux partir de Bidos pour Saint-Claude,from_to
je veux partir de Vernon-Giverny pour Maubeuge,from_to
je veux partir de Ribécourt pour Breil-sur-Roya,from_to
je veux partir de Sarrebourg-Abri-Phalsbo pour Surdon,from_to
je veux partir de Vezin-Carrefour pour Aix-les-Bains-le-Revard,from_to
je veux partir de Le-Mont-Dore-Gare pour Castelsarrasin,from_to
je veux partir de Feurs pour Munster,from_to
je veux partir de Saales pour Seurre,from_to
je veux partir de Champagne-Ardenne pour Lannion,from_to
je veux partir de Saverne-(Ht-Barr) pour Nantes,from_to
je veux partir de Truyes-Pl-Du-Souvenir pour Bitche,from_to
je veux partir de Vesoul pour Gardanne,from_to
je veux partir de Limoux pour Le Locle,from_to
je veux partir de Rodange pour Clermont-Ferrand,from_to
je veux partir de Buswiller-Eglise pour Corcieux Le Conti,from_to
je veux partir de Ancenis pour Montauban-Ville-Bourbon,from_to
je veux partir de Redon pour Brignais,from_to
je veux partir de Longueville (S.-et-M.) pour Altkirch,from_to
je veux partir de Saint-Sulpice-sur-Lèze pour Boussens,from_to
je veux partir de TOURS LYCEE GRANDMONT pour Decize,from_to
je veux partir de Cambrai Ville pour La-Bresse (Pl Champtel),from_to
je veux partir de Contrexéville pour Lille Flandres,from_to
je veux partir de Saint-Aignan-Lep pour Colomiers,from_to
je veux partir de Chinon-Lycée-Rabelais pour Ussel,from_to
je veux partir de Avesnes pour Sélestat,from_to
je veux partir de Ancizes-Saint-Georges-Bour pour Saumur,from_to
je veux partir de Barr pour nan,from_to
je veux partir de Chatellerault pour Paris-Gare-de-Lyon,from_to
je veux partir de Bruyères (Vosges) pour Riom_Es_M_la_Poste.,from_to
je veux partir de Pau pour Luneville-LP,from_to
je veux partir de Bagnoles- Orne Egl.Mad. pour Aubenas-Pl.-de-la-Paix,from_to
je veux partir de Faubourg-d'Orléans pour Hendaye,from_to
je veux partir de Chantonnay pour Paris-Montp.3-Vaug.,from_to
je veux partir de Briançon pour Le-Mont-Dore-Gare,from_to
je veux partir de Lapeyrouse(Puy-de-Dôme) pour Givet,from_to
je veux partir de Haguenau pour Bening,from_to
je veux partir de Agen pour La Forest,from_to
je veux partir de Colomiers pour Entzheim-Aéroport,from_to
je veux partir de Montbazon pour Revigny,from_to
